ADRESSEID;TYPE;KOMMUNENR;ADRESSEKODE;ADRESSENAVN;KORTADRESSENAVN;NR;BOKSTAV;GARDSNR;BRUKSNR;FESTENR;SEKSJONSNR;UNDERNR;KORTADRESSETILLEGGSNAVN;TILLEGGSNAVNKILDEKODE;TILLEGGSNAVNKILDENAVN;KOORDINATSYSTEMKODE;NORD;OST;GRUNNKRETSNR;GRUNNKRETSNAVN;KIRKESOGNNR;KIRKESOGNNAVN;TETTSTEDNR;TETTSTEDNAVN;VALGKRETSNR;VALGKRETSNAVN;POSTNUMMER;POSTNUMMEROMRADE
488486160;Vegadresse;2111;1401;Vei 401;Vei 401;1;A;22;644;0;0;;;;;23;8683390.8;514775.4;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
423860718;Vegadresse;2111;1210;Vei 210;Vei 210;5;;22;637;0;0;;;;;23;8682001.3;514097.2;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
423860717;Vegadresse;2111;1210;Vei 210;Vei 210;3;;22;637;0;0;;;;;23;8681998.1;514096.9;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
423860716;Vegadresse;2111;1210;Vei 210;Vei 210;1;;22;637;0;0;;;;;23;8681987.9;514096.9;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
525555623;Vegadresse;2111;1620;Vei 620;Vei 620;39;;22;527;38;0;;;;;23;8685785.4;509361.8;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
350565685;Vegadresse;2111;1505;Vei 505;Vei 505;17;;22;651;0;0;;;;;23;8682636.6;514273.2;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
350565684;Vegadresse;2111;1505;Vei 505;Vei 505;15;;22;651;0;0;;;;;23;8682610.7;514306.9;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
350565687;Vegadresse;2111;1505;Vei 505;Vei 505;21;;22;651;0;0;;;;;23;8682580.3;514250.0;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
350565686;Vegadresse;2111;1505;Vei 505;Vei 505;19;;22;651;0;0;;;;;23;8682567.7;514274.4;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
350565681;Vegadresse;2111;1505;Vei 505;Vei 505;11;;22;649;0;0;;;;;23;8682674.8;514339.5;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
350565680;Vegadresse;2111;1505;Vei 505;Vei 505;9;;22;649;0;0;;;;;23;8682699.3;514328.1;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
419213569;Vegadresse;2111;1212;Vei 212;Vei 212;33;;22;635;0;0;;;;;23;8682201.9;514116.6;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
419213570;Vegadresse;2111;1212;Vei 212;Vei 212;35;;22;635;0;0;;;;;23;8682206.3;514117.7;101;Spitsbergen;11010801;Svalbard;;;1;Svalbard;9170;LONGYEARBYEN;
